Starting Year;Journal Name;JIF 2018;JIF 2018 rev;SNIP 2018;SNIP 2018 rev;Preprints;Postprints;Embargo (months);VOR;OA option;Sherpa Color;APC US$;Publisher;Type of publisher;Status (Hybrid/OA);"Year (status)
";;;;;;;;;
1974;Reviews in Mineralogy & Geochemistry;8.745;8,745;3.531;3,531;no;no;12;no;no;white;0;Mineralogical Society of America and Geochemical Society;Society;not OA;not known;;;;;;;;;
2012;Geochemical Perspectives;5,75;5,750;1.908;1,908;yes;yes;0;yes;yes;na;0;European Association of Geochemistry;Society;Full OA;Since founded;;;;;;;;;
1997;Hydrology & Earth System Sciences;4.936;4,936;na;0,000;yes;yes;0;yes;yes;green;1000;EGU;Society;Full OA;Since founded;;;;;;;;;
1966;Earth and Planetary Science Letters;4.637;4,637;1.601;1,601;yes;yes;0;no;yes;green;3200;Elsevier;Commercial;Hybrid OA;Since founded;;;;;;;;;
1950;Geochimica et Cosmochimica Acta;4.258;4,258;1,59;1,590;yes;yes;0;no;yes;green;3150;Elsevier;Commercial;Hybrid OA;Since founded;;;;;;;;;
1977;Geostandards and Geoanalytical Research;4.256;4,256;1.589;1,589;yes;yes;12;no;yes;yellow;3700;Wiley;Commercial;Hybrid OA;Since founded;;;;;;;;;
2005;Elements;4.224;4,224;1,4;1,400;no;yes;12;no;yes;white;4000;Jontly published By European Association of Geochemistry;Society;not OA;not known;;;;;;;;;
2015;Geochemical Perspectives Letters;4.032;4,032;na;0,000;yes;yes;0;yes;yes;na;0;European Association of Geochemistry;Society;Full OA;Since founded;;;;;;;;;
2004;Biogeosciences;3.951;3,951;na;0,000;yes;yes;0;yes;yes;green;1000;EGU;Society;Full OA;Since founded;;;;;;;;;
1968;Lithos;3.913;3,913;1,62;1,620;yes;yes;0;no;yes;green;3500;Elsevier;Commercial;Hybrid OA;Since founded;;;;;;;;;
1974;Precambrian Research;3.834;3,834;1,38;1,380;yes;yes;0;no;yes;green;3300;Elsevier;Commercial;Hybrid OA;Since founded;;;;;;;;;
1966;Chemical Geology;3.618;3,618;1.362;1,362;yes;yes;0;no;yes;green;1950;Elsevier;Commercial;Hybrid OA;Since founded;;;;;;;;;
1979;Journal of Geophysical Research-Solid Earth;3.585;3,585;1,56;1,560;yes;yes;0;yes;yes;green;3500;Wiley;Commercial;Hybrid OA;Since founded;;;;;;;;;
1972;Journal of Geochemical Exploration;3.472;3,472;1.496;1,496;yes;yes;0;no;yes;green;2500;Elsevier;Commercial;Hybrid OA;Since founded;;;;;;;;;
1984;Biogeochemistry;3.406;3,406;1,21;1,210;yes;yes;0;no;yes;green;3140;Springer Nature;Commercial;Hybrid OA;Since founded;;;;;;;;;
1966;Mineralium Deposita;3.397;3,397;1,59;1,590;yes;yes;0;no;yes;green;3140;Springer Nature;Commercial;Hybrid OA;Since founded;;;;;;;;;
1986;Ore Geology Reviews;3.387;3,387;1,69;1,690;yes;yes;0;no;yes;green;2600;Elsevier;Commercial;Hybrid OA;Since founded;;;;;;;;;
1960;Journal of Petrology;3,38;3,380;1,37;1,370;yes;yes;0;no;yes;green;3150;Oxford University Press;Univ press;Hybrid OA;Since founded;;;;;;;;;
1905;Economic Geology;3.285;3,285;1,48;1,480;no;yes;12;no;yes;white;3000;Society of Economic Geologists;Society;Hybrid OA;Since founded;;;;;;;;;
1983;Environmental Geochemistry and Health;3.252;3,252;1,18;1,180;yes;yes;0;no;yes;green;3140;Springer Nature;Commercial;Hybrid OA;Since founded;;;;;;;;;
1966;Contributions to Mineralogy and Petrology;3,23;3,230;1,35;1,350;yes;yes;0;no;yes;green;3760;Springer Nature;Commercial;Hybrid OA;Since founded;;;;;;;;;
1977;Organic Geochemistry;3,12;3,120;1,17;1,170;yes;yes;0;no;yes;green;2500;Elsevier;Commercial;Hybrid OA;Since founded;;;;;;;;;
2000;Geochemistry Geophysics Geosystems;2.946;2,946;1,22;1,220;yes;yes;0;yes;yes;green;3500;Wiley;Commercial;Hybrid OA;Since founded;;;;;;;;;
1986;Applied Geochemistry;2.894;2,894;1,44;1,440;yes;yes;0;no;yes;green;2750;Elsevier;Commercial;Hybrid OA;Since founded;;;;;;;;;
2013;Frontiers in Earth Science-Geochemistry;2.892;2,892;na;0,000;yes;yes;0;yes;yes;green;2490;Frontiers;Commercial;Full OA;Since founded;;;;;;;;;
1968;American Mineralogist;2.631;2,631;1,1;1,100;no;yes;12;no;yes;white;900;Mineralogical Society of America;Society;Hybrid OA;Since founded;;;;;;;;;
2000;Geochemical Transactions;2.615;2,615;na;0,000;yes;yes;0;yes;yes;green;1140;Springer Nature;Commercial;Full OA;Since founded;;;;;;;;;
2010;Solid Earth;2,38;2,380;na;0,000;yes;yes;0;yes;yes;green;1000;EGU;Society;Full OA;Since founded;;;;;;;;;
1981;Chemie der Erde/Geochemistry;2, 3644;2,364;1,07;1,070;yes;yes;0;no;yes;green;1500;Elsevier;Commercial;Hybrid OA;Since founded;;;;;;;;;
2017;ACS Earth and Space Chemistry;2.243;2,243;0,69;0,690;yes;yes;na;no;yes;white;4000;American Chemical Society;Society;Hybrid OA;Since founded;;;;;;;;;
2014;Earth and Space Science;2.152;2,152;na;0,000;yes;yes;0;yes;yes;green;1800;Wiley;Commercial;Full OA;Since founded;;;;;;;;;
2013;Geothermal Energy;1.732;1,732;na;0,000;yes;yes;0;yes;yes;green;1420;Springer Nature;Commercial;Full OA;Since founded;;;;;;;;;
2004;Journal of Chemistry-Geochemistry;1.727;1,727;na;0,000;yes;yes;0;yes;yes;green;1600;Hindawi;Commercial;Full OA;Since founded;;;;;;;;;
1987;Mineralogy and Petrology;1.573;1,573;0,75;0,750;yes;yes;0;no;yes;green;3140;Springer Nature;Commercial;Hybrid OA;Since founded;;;;;;;;;
1995;Aquatic Geochemistry;1,44;1,440;0,73;0,730;yes;yes;0;no;yes;green;3140;Springer Nature;Commercial;Hybrid OA;Since founded;;;;;;;;;
2001;Geofluids;1.437;1,437;0,74;0,740;yes;yes;0;yes;yes;green;1600;Hindawi;Commercial;Full OA;Since founded;;;;;;;;;
1930;Periodico di Mineralogia;1.417;1,417;na;0,000;yes;yes;0;yes;yes;na;0;Edizioni Nuova Cultura;Society;Full OA;Since founded;;;;;;;;;
1962;Canadian Mineralogist;1.398;1,398;na;0,000;na;na;na;na;no;white;0;Mineralogical Association of Canada;Society;not OA;Since founded;;;;;;;;;
2001;Geochemistry-Exploration Environment Analysis;1.109;1,109;0,6;0,600;yes;yes;12;no;yes;yellow;3600;Geological Society;Society;Hybrid OA;Since founded;;;;;;;;;
1979;Geochemical Journal;0,99;0,990;0,64;0,640;na;na;na;na;yes;na;1400;Geochemical Society of Japan;Society;Hybrid OA;Since July 2013;;;;;;;;;
1977;Geochemistry International/Geokhimiya;1;0,810;0,88;0,880;yes;yes;12;yes;no;blue;0;Springer Nature;Commercial;not OA;not known;;;;;;;;;
1806;Neues Jahrbuch für Mineralogie;0,6;0,600;na;0,000;yes;no;na;no;yes;yellow;318,4;Schweizerbart;Commercial;Hybrid OA;not known;;;;;;;;;
1984;Lithology and Mineral Resources;0;0,441;0,85;0,850;;yes;na;yes;no;blue;0;Springer Nature;Commercial;not OA;not known;;;;;;;;;
2011;Geosciences Geochemistry;na;0,000;na;0,000;yes;yes;0;yes;yes;green;1000;MDPI;Commercial;Full OA;Since founded;;;;;;;;;
1989;European Journal of Mineralogy;1.663;1,663;0,954;0,954;yes;no;0;yes;yes;yellow;800;Schweizerbart;Commercial;not OA;Since 2020;;;;;;;;;
1876;Mineralogical Magazine;2,21;2,210;na;0,970;yes;yes;6;no;yes;green;3070;Cambridge University Press;Univ press;Hybrid OA;not known;;;;;;;;;
1952;Clays and Clay Minerals;1.835;1,835;na;0,890;yes;yes;12;yes;yes;green;2500;Springer Nature;Commercial;Hybrid OA;not known;;;;;;;;;
1947;Clay Minerals;1.787;1,787;na;0,830;yes;yes;6;no;yes;green;3070;Cambridge University Press;Univ press;Hybrid OA;not known;;;;;;;;;
1985;Applied Clay Science ;3.890;3,890;na;1,620;yes;yes;12;no;yes;green;2500;Elsevier;Commercial;Hybrid OA;not known;;;;;;;;;
2011;Minerals;2,25;2,250;na;0,970;yes;yes;0;yes;yes;green;1400;MDPI;Commercial;Full OA;Since founded;;;;;;;;;
1992;Global Biogeochemical Cycles;5.733;5,733;na;1,560;yes;yes;6;yes;yes;green;3500;Wiley;Commercial;Hybrid OA;not known;;;;;;;;;
1980;Acta Petrologica Sinica/Yanshi-Xuebao;1.317;1,317;na;0,650;na;na;na;na;na;na;0;Science Press;Commercial;not OA;not known;;;;;;;;;
1982;Acta Geochimica/Chinese Journal of Geochemistry;na;1,080;na;0,450;yes;yes;12;yes;yes;green;2690;Springer Nature;Commercial;Hybrid OA;not known;;;;;;;;;
2010;Geosciences Frontiers;4.160;4,160;na;0,000;yes;yes;12;no;yes;green;0;Elsevier;Commercial;Full OA;not known;;;;;;;;;
2019;News in Geochemistry;na;0,000;na;0,000;na;na;na;na;na;na;900;Elsevier;Commercial;Full OA;Since founded;;;;;;;;;
